x,y,z,roll,pitch,yaw
0.0713912,-0.9448141,2.3895998,-0.0012140626,-0.0032260525,1.3049406
-0.121125005,-1.0442071,2.3281088,0.011633499,-0.009138708,1.3038998
-0.29577383,-1.0644108,2.5337832,0.013002006,-0.020271374,1.3020568
-0.37615773,-1.0483075,1.5729153,0.00843584,-0.026882429,1.3009489
-0.40646827,-0.9621955,1.7617103,0.008287053,-0.028315052,1.3005488
-0.3493999,-1.3105611,2.058933,0.009084905,-0.029289652,1.3001819
-0.21943974,-1.3025361,1.816306,0.00888867,-0.029321924,1.3001904
-0.20617092,-1.3890307,2.1137433,0.009977914,-0.030078076,1.2998459
-0.44575444,-1.1664215,2.4022708,0.009448258,-0.029584065,1.3000554
-0.27728727,-0.9483398,2.7541037,0.0052178865,-0.024487903,1.3018149
-0.29724574,-0.9396142,2.6723025,0.004338133,-0.025694408,1.3015451
-0.2559797,-1.2538189,2.0837786,0.0050130263,-0.026386708,1.3013257
